OTU,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_2358,Bacteria,Chloroflexi,KD4-96,KD4-96,KD4-96,KD4-96,BOTU_2358_KD4-96
BOTU_2362,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,BOTU_2362_Haliangium
BOTU_2360,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,BOTU_2360_Geodermatophilus
BOTU_2368,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,unidentified,unidentified,BOTU_2368_Rhodospirillales
BOTU_2367,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,BOTU_2367_0319-6G20
BOTU_2364,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085,S085,BOTU_2364_S085
BOTU_2365,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,BOTU_2365_Mucilaginibacter
BOTU_2366,Bacteria,Myxococcota,Polyangia,mle1-27,mle1-27,mle1-27,BOTU_2366_mle1-27
BOTU_2371,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,BOTU_2371_Gemmata
BOTU_2369,Bacteria,Armatimonadota,unidentified,unidentified,unidentified,unidentified,BOTU_2369_Armatimonadota
BOTU_2370,Bacteria,Acidobacteriota,Acidobacteriae,Elev-16S-1166,Elev-16S-1166,Elev-16S-1166,BOTU_2370_Elev-16S-1166
BOTU_2372,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,BOTU_2372_Gemmata
BOTU_2375,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,BOTU_2375_Roseisolibacter
BOTU_2378,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2378_Gemmataceae
BOTU_2376,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,unidentified,BOTU_2376_Chitinophagaceae
BOTU_2374,Bacteria,Gemmatimonadota,AKAU4049,AKAU4049,AKAU4049,AKAU4049,BOTU_2374_AKAU4049
BOTU_2377,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,unidentified,BOTU_2377_Polyangiaceae
BOTU_2373,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,BOTU_2373_Nocardia
BOTU_2380,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,BOTU_2380_0319-6G20
BOTU_2381,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,BOTU_2381_Haliangium
BOTU_2389,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2389_Gemmataceae
BOTU_2379,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Mizugakiibacter,BOTU_2379_Mizugakiibacter
BOTU_2386,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,BOTU_2386_Roseisolibacter
BOTU_2387,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,BOTU_2387_Chthoniobacter
BOTU_2382,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,BOTU_2382_Nocardioides
BOTU_2384,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,unidentified,BOTU_2384_Blastocatellaceae
BOTU_2388,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,unidentified,BOTU_2388_Chroococcidiopsaceae
BOTU_2394,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,unidentified,BOTU_2394_Isosphaeraceae
BOTU_2383,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unidentified,unidentified,BOTU_2383_Rhizobiales
BOTU_2392,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriales,Kapabacteriales,BOTU_2392_Kapabacteriales
BOTU_2396,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,BOTU_2396_SBR1031
BOTU_2385,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,unidentified,BOTU_2385_Moraxellaceae
BOTU_2395,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,JG30-KF-AS9,BOTU_2395_JG30-KF-AS9
BOTU_2390,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,BOTU_2390_Haliangium
BOTU_2393,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),BOTU_2393_SAR324_clade(Marine_group_B)
BOTU_2397,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,BOTU_2397_Cnuella
BOTU_2398,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,BOTU_2398_RB41
BOTU_2391,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,unidentified,BOTU_2391_Azospirillaceae
BOTU_2399,Bacteria,Gemmatimonadota,S0134_terrestrial_group,S0134_terrestrial_group,S0134_terrestrial_group,S0134_terrestrial_group,BOTU_2399_S0134_terrestrial_group
BOTU_2400,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,unidentified,BOTU_2400_Ktedonobacteraceae
BOTU_2406,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,unidentified,BOTU_2406_Roseiflexaceae
BOTU_2408,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2408_unidentified
BOTU_2407,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,BOTU_2407_WD2101_soil_group
BOTU_2401,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,BOTU_2401_P3OB-42
BOTU_2405,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,BOTU_2405_SBR1031
BOTU_2410,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2410_Gemmataceae
BOTU_2404,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,unidentified,BOTU_2404_Micropepsaceae
BOTU_2413,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2413_Gemmataceae
BOTU_2403,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Subgroup_17,Subgroup_17,BOTU_2403_Subgroup_17
BOTU_2409,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,BOTU_2409_IMCC26256
BOTU_2402,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_2402_Burkholderiales
BOTU_2411,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unidentified,BOTU_2411_Gemmatimonadaceae
BOTU_2412,Bacteria,RCP2-54,RCP2-54,RCP2-54,RCP2-54,RCP2-54,BOTU_2412_RCP2-54
BOTU_2419,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,BOTU_2419_env.OPS_17
BOTU_2414,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,YC-ZSS-LKJ147,BOTU_2414_YC-ZSS-LKJ147
BOTU_2418,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,BOTU_2418_Bdellovibrio
BOTU_2415,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,unidentified,unidentified,BOTU_2415_Solirubrobacterales
BOTU_2420,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,BOTU_2420_Chthonomonas
BOTU_2422,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,BOTU_2422_SBR1031
BOTU_2417,Bacteria,Armatimonadota,unidentified,unidentified,unidentified,unidentified,BOTU_2417_Armatimonadota
BOTU_2423,Bacteria,Elusimicrobiota,Lineage_IIa,Lineage_IIa,Lineage_IIa,Lineage_IIa,BOTU_2423_Lineage_IIa
BOTU_2425,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,BOTU_2425_0319-6G20
BOTU_2424,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,unidentified,unidentified,BOTU_2424_Vicinamibacterales
BOTU_2416,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter,BOTU_2416_Intestinibacter
BOTU_2427,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,C10-SB1A,C10-SB1A,BOTU_2427_C10-SB1A
BOTU_2428,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,unidentified,unidentified,BOTU_2428_Cytophagales
BOTU_2421,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,BOTU_2421_Actinoplanes
BOTU_2426,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,BOTU_2426_Chthoniobacter
BOTU_2429,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,BOTU_2429_JG30-KF-CM45
BOTU_2434,Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031,SBR1031,BOTU_2434_SBR1031
BOTU_2433,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,BOTU_2433_Fibrella
BOTU_2430,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119,C0119,BOTU_2430_C0119
BOTU_2432,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,unidentified,BOTU_2432_Chitinophagaceae
BOTU_2437,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,BOTU_2437_Bdellovibrio
BOTU_2431,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Sporocytophaga,BOTU_2431_Sporocytophaga
BOTU_2435,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,BOTU_2435_0319-6G20
BOTU_2436,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_2436_Gaiellales
BOTU_2438,Bacteria,Armatimonadota,unidentified,unidentified,unidentified,unidentified,BOTU_2438_Armatimonadota
BOTU_2440,Bacteria,Chloroflexi,SHA-26,SHA-26,SHA-26,SHA-26,BOTU_2440_SHA-26
BOTU_2439,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,BOTU_2439_Cytophaga
BOTU_2443,Bacteria,Acidobacteriota,Blastocatellia,24-Nov,24-Nov,24-Nov,BOTU_2443_44889
BOTU_2446,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781,BOTU_2446_AKIW781
BOTU_2447,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,BOTU_2447_Saccharimonadales
BOTU_2445,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Siphonobacter,BOTU_2445_Siphonobacter
BOTU_2441,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,unidentified,BOTU_2441_Micropepsaceae
BOTU_2444,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,BOTU_2444_Gemmatimonas
BOTU_2455,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2455_unidentified
BOTU_2448,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,BOTU_2448_Fluviicola
BOTU_2442,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,BOTU_2442_Sulfurifustis
BOTU_2452,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,BOTU_2452_Saccharimonadales
BOTU_2450,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,unidentified,BOTU_2450_Acetobacteraceae
